kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_prad_log
6871071,K02220.05,,CANDIDATE,1.05,11.9294568,0.3789,3.193,132.3,797.0,95.42,11.7,5975.0,4.48,0.9,294.13791,42.370499,14.686,0.7178397931503169
7690855,K04077.01,,FALSE POSITIVE,15.72,0.786260569,1.226,4.556,877.1,1192.0,477.45,246.0,4223.0,4.681,0.557,294.53149,43.398659,14.04,2.8166056076565553
5649837,K04078.01,,FALSE POSITIVE,23.2,0.597934463,1.224,3.1225,515.0,2126.0,4834.45,72.2,6052.0,4.539,0.863,299.07944,40.825642,15.248,3.186352633162641
10141938,K04079.01,,FALSE POSITIVE,60.3,360.76458,1.7475,21.22,383.7,216.0,0.52,10.0,5513.0,4.616,0.724,292.16028,47.166649,14.659,4.115779842942166
8029197,K04147.01,,FALSE POSITIVE,1.02,2.15292788,0.45,3.043,41.4,1841.0,2708.61,21.5,5851.0,3.969,1.555,291.9632,43.88166,12.643,0.7030975114131134
12257886,K04148.01,,FALSE POSITIVE,1.28,2.61585431,0.577,6.519,169.8,1358.0,803.03,26.9,6131.0,4.497,0.945,291.22729,50.921791,15.181,0.8241754429663494
10875007,K04149.01,,CANDIDATE,1.71,9.54699216,0.879,5.063,143.0,996.0,232.24,17.4,6274.0,4.357,1.232,296.9621,48.25639,14.718,0.9969486348916096
10875007,K04149.02,,CANDIDATE,1.82,14.708641,0.96,5.394,130.6,862.0,130.5,12.8,6274.0,4.357,1.232,296.9621,48.25639,14.718,1.0367368849500223
11465651,K04150.01,Kepler-1941 b,CONFIRMED,1.99,31.3351094,0.706,6.071,264.9,666.0,46.53,16.7,6404.0,4.393,1.142,296.62704,49.353901,14.681,1.095273387402595
5036480,K04080.01,,FALSE POSITIVE,1.06,1.061002863,0.337,1.962,142.4,1679.0,1883.03,15.7,5767.0,4.538,0.881,297.86734,40.10257,15.213,0.7227059828014898
